T10706	Hieracium laevigatum var. squarrosum Schack & Zahn
T10707	Castrilanthemum debeauxii (Degen, Hervier & E.Rev.) Vogt & Oberpr.
T10708	Centaurea gabrieliae (Bornm.) Wagenitz
T10709	Centaurea aggregata var. argyrea Bornm.
T10710	Hieracium laevigatum subsp. thuringiosilvanum Schack & Zahn
T10711	Hieracium laevigatum subsp. stolzenbergense Schack & Zahn
T10712	Centaurea finazzeri Bornm.
T10713	Centaurea ferulacea Martelli
T10714	Centaurea affinis subsp. laconiae Prodan
T10715	Centaurea aggregata Fisch. & C.A.Mey. ex DC.
T10716	Triglochin bulbosa subsp. laxiflora (Guss.) Rouy
T10717	Cynanchum
T10718	Disperis
T10719	Centaurea drabifolia var. detonsa (Bornm.) Wagenitz
T10720	Disperis zeylanica
T10721	Centaurea erivanensis (Lipsky) Bordz.
T10722	Centaurea drabifolia var. linearis (Bornm.) Wagenitz
T10723	Centaurea drabifolia var. calvescens (Bornm.) Wagenitz
T10724	Centaurea elegantissima Bornm.
T10725	Forchhammeria trifoliata
T10726	Centaurea drakiensis Freyn & Sint.
